settlement_id,payment_id,utr,date,gross_amount,fee,tax,net_amount
SET0359,PAY0359,UTR000359,2026-08-04,20000,400.0,72.0,19528.0
SET0360,PAY0360,UTR000360,2026-08-03,5000,100.0,18.0,4882.0
SET0361,PAY0361,UTR000361,2026-08-11,7500,150.0,27.0,7323.0
SET0362,PAY0362,UTR000362,2026-08-13,5000,100.0,18.0,4882.0
SET0363,PAY0363,UTR000363,2026-08-04,15000,300.0,54.0,14646.0
SET0364,PAY0364,UTR000364,2026-08-13,5000,100.0,18.0,4882.0
SET0365,PAY0365,UTR000365,2026-08-03,7500,150.0,27.0,7323.0
SET0366,PAY0366,UTR000366,2026-08-10,750,15.0,2.7,732.3
SET0367,PAY0367,UTR000367,2026-08-09,5000,100.0,18.0,4882.0
SET0368,PAY0368,UTR000368,2026-08-13,10000,200.0,36.0,9764.0
SET0369,PAY0369,UTR000369,2026-08-05,7500,150.0,27.0,7323.0
SET0370,PAY0370,UTR000370,2026-08-05,15000,300.0,54.0,14646.0
SET0371,PAY0371,UTR000371,2026-08-13,2500,50.0,9.0,2441.0
SET0372,PAY0372,UTR000372,2026-08-12,15000,300.0,54.0,14646.0
SET0373,PAY0373,UTR000373,2026-08-10,10000,200.0,36.0,9764.0
SET0374,PAY0374,UTR000374,2026-08-09,20000,400.0,72.0,19528.0
SET0375,PAY0375,UTR000375,2026-08-07,5000,100.0,18.0,4882.0
SET0376,PAY0376,UTR000376,2026-08-06,750,15.0,2.7,732.3
SET0377,PAY0377,UTR000377,2026-08-07,10000,200.0,36.0,9764.0
SET0378,PAY0378,UTR000378,2026-08-06,10000,200.0,36.0,9764.0
SET0379,PAY0379,UTR000379,2026-08-12,20000,400.0,72.0,19528.0
SET0380,PAY0380,UTR000380,2026-08-13,7500,150.0,27.0,7323.0
SET0381,PAY0381,UTR000381,2026-08-08,500,10.0,1.8,488.2
SET0382,PAY0382,UTR000382,2026-08-10,5000,100.0,18.0,4882.0
SET0383,PAY0383,UTR000383,2026-08-05,10000,200.0,36.0,9764.0
SET0384,PAY0384,UTR000384,2026-08-06,5000,100.0,18.0,4882.0
SET0385,PAY0385,UTR000385,2026-08-07,5000,100.0,18.0,4882.0
SET0386,PAY0386,UTR000386,2026-08-07,20000,400.0,72.0,19528.0
SET0387,PAY0387,UTR000387,2026-08-07,15000,300.0,54.0,14646.0
SET0388,PAY0388,UTR000388,2026-08-03,15000,300.0,54.0,14646.0
SET0389,PAY0389,UTR000389,2026-08-06,750,15.0,2.7,732.3
SET0390,PAY0390,UTR000390,2026-08-06,7500,150.0,27.0,7323.0
SET0391,PAY0391,UTR000391,2026-08-10,15000,300.0,54.0,14646.0
SET0392,PAY0392,UTR000392,2026-08-06,10000,200.0,36.0,9764.0
SET0393,PAY0393,UTR000393,2026-08-13,10000,200.0,36.0,9764.0
SET0394,PAY0394,UTR000394,2026-08-10,500,10.0,1.8,488.2
SET0395,PAY0395,UTR000395,2026-08-04,2500,50.0,9.0,2441.0
SET0396,PAY0396,UTR000396,2026-08-06,7500,150.0,27.0,7323.0
SET0397,PAY0397,UTR000397,2026-08-06,2500,50.0,9.0,2441.0
SET0398,PAY0398,UTR000398,2026-08-13,20000,400.0,72.0,19528.0
SET0399,PAY0399,UTR000399,2026-08-08,10000,200.0,36.0,9764.0
SET0400,PAY0400,UTR000400,2026-08-11,15000,300.0,54.0,14646.0
SET0401,PAY0401,UTR000401,2026-08-08,7500,150.0,27.0,7323.0
SET0402,PAY0402,UTR000402,2026-08-11,5000,100.0,18.0,4882.0
SET0403,PAY0403,UTR000403,2026-08-08,10000,200.0,36.0,9764.0
SET0404,PAY0404,UTR000404,2026-08-07,2500,50.0,9.0,2441.0
SET0405,PAY0405,UTR000405,2026-08-07,1500,30.0,5.4,1464.6
SET0406,PAY0406,UTR000406,2026-08-04,1500,30.0,5.4,1464.6
SET0407,PAY0407,UTR000407,2026-08-08,750,15.0,2.7,732.3
SET0408,PAY0408,UTR000408,2026-08-11,1000,20.0,3.6,976.4
SET0409,PAY0409,UTR000409,2026-08-06,1500,30.0,5.4,1464.6
SET0410,PAY0410,UTR000410,2026-08-10,2500,50.0,9.0,2441.0
SET0411,PAY0411,UTR000411,2026-08-12,15000,300.0,54.0,14646.0
SET0413,PAY0413,UTR000413,2026-08-04,1500,30.0,5.4,1464.6
SET0414,PAY0414,UTR000414,2026-08-07,1500,30.0,5.4,1464.6
SET0415,PAY0415,UTR000415,2026-08-08,1000,20.0,3.6,976.4
SET0416,PAY0416,UTR000416,2026-08-07,500,10.0,1.8,488.2
SET0417,PAY0417,UTR000417,2026-08-11,1000,20.0,3.6,976.4
SET0418,PAY0418,UTR000418,2026-08-07,500,10.0,1.8,488.2
SET0419,PAY0419,UTR000419,2026-08-03,15000,300.0,54.0,14646.0
SET0420,PAY0420,UTR000420,2026-08-07,1000,20.0,3.6,976.4
SET0421,PAY0421,UTR000421,2026-08-13,10000,200.0,36.0,9764.0
SET0422,PAY0422,UTR000422,2026-08-04,500,10.0,1.8,488.2
SET0423,PAY0423,UTR000423,2026-08-12,2500,50.0,9.0,2441.0
SET0424,PAY0424,UTR000424,2026-08-10,10000,200.0,36.0,9764.0
SET0425,PAY0425,UTR000425,2026-08-10,5000,100.0,18.0,4882.0
SET0426,PAY0426,UTR000426,2026-08-05,500,10.0,1.8,488.2
SET0427,PAY0427,UTR000427,2026-08-07,10000,200.0,36.0,9764.0
SET0428,PAY0428,UTR000428,2026-08-04,750,15.0,2.7,732.3
SET0429,PAY0429,UTR000429,2026-08-09,10000,200.0,36.0,9764.0
SET0430,PAY0430,UTR000430,2026-08-04,20000,400.0,72.0,19528.0
SET0431,PAY0431,UTR000431,2026-08-13,500,10.0,1.8,488.2
SET0432,PAY0432,UTR000432,2026-08-05,1000,320.0,3.6,676.4
SET0433,PAY0433,UTR000433,2026-08-12,2500,50.0,9.0,2441.0
SET0434,PAY0434,UTR000434,2026-08-04,1500,30.0,5.4,1464.6
SET0435,PAY0435,UTR000435,2026-08-04,15000,300.0,54.0,14646.0
SET0436,PAY0436,UTR000436,2026-08-09,20000,400.0,72.0,19528.0
SET0437,PAY0437,UTR000437,2026-08-12,20000,400.0,72.0,19528.0
SET0438,PAY0438,UTR000438,2026-08-06,15000,300.0,54.0,14646.0
SET0439,PAY0439,UTR000439,2026-08-09,10000,200.0,36.0,9764.0
SET0440,PAY0440,UTR000440,2026-08-10,2500,50.0,9.0,2441.0
SET0441,PAY0441,UTR000441,2026-08-12,7500,150.0,27.0,7323.0
SET0443,PAY0443,UTR000443,2026-08-12,500,10.0,1.8,488.2
SET0444,PAY0444,UTR000444,2026-08-12,750,15.0,2.7,732.3
SET0445,PAY0445,UTR000445,2026-08-06,1500,30.0,5.4,1464.6
SET0446,PAY0446,UTR000446,2026-08-07,750,15.0,2.7,732.3
SET0447,PAY0447,UTR000447,2026-08-05,1500,30.0,5.4,1464.6
SET0448,PAY0448,UTR000448,2026-08-05,15000,300.0,54.0,14646.0
SET0449,PAY0449,UTR000449,2026-08-04,1000,20.0,3.6,976.4
SET0450,PAY0450,UTR000450,2026-08-03,7500,150.0,27.0,7323.0
SET0451,PAY0451,UTR000451,2026-08-10,20000,400.0,72.0,19528.0
SET0452,PAY0452,UTR000452,2026-08-10,2500,50.0,9.0,2441.0
SET0453,PAY0453,UTR000453,2026-08-03,1500,30.0,5.4,1464.6
SET0454,PAY0454,UTR000454,2026-08-07,2500,50.0,9.0,2441.0
SET0455,PAY0455,UTR000455,2026-08-10,750,15.0,2.7,732.3
SET0456,PAY0456,UTR000456,2026-08-13,1500,30.0,5.4,1464.6
SET0457,PAY0457,UTR000457,2026-08-07,20000,400.0,72.0,19528.0
SET0458,PAY0458,UTR000458,2026-08-13,1500,30.0,5.4,1464.6
SET0459,PAY0459,UTR000459,2026-08-09,750,15.0,2.7,732.3
SET0460,PAY0460,UTR000460,2026-08-11,1500,30.0,5.4,1464.6
SET0461,PAY0461,UTR000461,2026-08-13,1000,20.0,3.6,976.4
SET0462,PAY0462,UTR000462,2026-08-07,1000,20.0,3.6,976.4
SET0463,PAY0463,UTR000463,2026-08-04,500,10.0,1.8,488.2
SET0464,PAY0464,UTR000464,2026-08-05,2500,50.0,9.0,2441.0
SET0465,PAY0465,UTR000465,2026-08-12,20000,400.0,72.0,19528.0
SET0466,PAY0466,UTR000466,2026-08-07,10000,200.0,36.0,9764.0
SET0467,PAY0467,UTR000467,2026-08-04,10000,200.0,36.0,9764.0
SET0468,PAY0468,UTR000468,2026-08-07,7500,150.0,27.0,7323.0
SET0470,PAY0470,UTR000470,2026-08-11,10000,200.0,36.0,9764.0
SET0471,PAY0471,UTR000471,2026-08-10,750,15.0,2.7,732.3
SET0472,PAY0472,UTR000472,2026-08-12,500,10.0,1.8,488.2
SET0473,PAY0473,UTR000473,2026-08-09,5000,100.0,18.0,4882.0
SET0474,PAY0474,UTR000474,2026-08-12,2500,50.0,9.0,2441.0
SET0475,PAY0475,UTR000475,2026-08-03,750,15.0,2.7,732.3
SET0476,PAY0476,UTR000476,2026-08-06,20000,700.0,72.0,19228.0
SET0477,PAY0477,UTR000477,2026-08-12,500,10.0,1.8,488.2
SET0478,PAY0478,UTR000478,2026-08-13,2500,50.0,9.0,2441.0
SET0479,PAY0479,UTR000479,2026-08-12,500,10.0,1.8,488.2
SET0480,PAY0480,UTR000480,2026-08-05,10000,200.0,36.0,9764.0
SET0481,PAY0481,UTR000481,2026-08-11,10000,500.0,36.0,9464.0
SET0482,PAY0482,UTR000482,2026-08-07,1000,20.0,3.6,976.4
SET0483,PAY0483,UTR000483,2026-08-12,7500,150.0,27.0,7323.0
SET0484,PAY0484,UTR000484,2026-08-13,10000,200.0,36.0,9764.0
SET0485,PAY0485,UTR000485,2026-08-04,10000,200.0,36.0,9764.0
SET0487,PAY0487,UTR000487,2026-08-08,5000,100.0,18.0,4882.0
SET0488,PAY0488,UTR000488,2026-08-13,750,15.0,2.7,732.3
SET0489,PAY0489,UTR000489,2026-08-05,5000,100.0,18.0,4882.0
SET0490,PAY0490,UTR000490,2026-08-09,10000,200.0,36.0,9764.0
SET0491,PAY0491,UTR000491,2026-08-07,7500,150.0,27.0,7323.0
SET0492,PAY0492,UTR000492,2026-08-11,500,10.0,1.8,488.2
SET0493,PAY0493,UTR000493,2026-08-10,750,15.0,2.7,732.3
SET0494,PAY0494,UTR000494,2026-08-08,2500,350.0,9.0,2141.0
SET0495,PAY0495,UTR000495,2026-08-08,750,15.0,2.7,732.3
SET0496,PAY0496,UTR000496,2026-08-09,15000,300.0,54.0,14646.0
SET0497,PAY0497,UTR000497,2026-08-03,15000,300.0,54.0,14646.0
SET0498,PAY0498,UTR000498,2026-08-10,7500,150.0,27.0,7323.0
SET0499,PAY0499,UTR000499,2026-08-03,1500,30.0,5.4,1464.6
SET0500,PAY0500,UTR000500,2026-08-11,5000,100.0,18.0,4882.0
